experiment,train_time,eval_time
result/UKDALE_WashingMachine_10s/128/NILMFormer_0,745.52,66.346
result/UKDALE_WashingMachine_10s/128/BERT4NILM_0,472.86,46.668
result/UKDALE_WashingMachine_10s/128/BiLSTM_0,437.567,57.646
result/UKDALE_WashingMachine_10s/128/BiGRU_0,489.993,42.814
result/UKDALE_WashingMachine_10s/128/CNN1D_0,392.222,43.289
result/UKDALE_WashingMachine_10s/128/DAResNet_0,1148.905,100.598
result/UKDALE_WashingMachine_10s/128/NILMFormer_1,775.454,50.673
result/UKDALE_WashingMachine_10s/128/BERT4NILM_1,481.818,45.592
result/UKDALE_WashingMachine_10s/128/BiLSTM_1,463.83,50.539
result/UKDALE_WashingMachine_10s/128/BiGRU_1,369.085,32.362
result/UKDALE_WashingMachine_10s/128/CNN1D_1,328.883,32.508
result/UKDALE_WashingMachine_10s/128/DAResNet_1,1169.83,80.848
result/UKDALE_WashingMachine_10s/128/NILMFormer_2,770.233,108.23
result/UKDALE_WashingMachine_10s/128/BERT4NILM_2,875.495,93.595
result/UKDALE_WashingMachine_10s/128/BiLSTM_2,888.784,97.753
result/UKDALE_WashingMachine_10s/128/BiGRU_2,836.523,95.074
result/UKDALE_WashingMachine_10s/128/CNN1D_2,851.927,92.036
result/UKDALE_WashingMachine_10s/128/DAResNet_2,1425.357,133.907
result/UKDALE_WashingMachine_10s/256/NILMFormer_0,530.93,51.956
result/UKDALE_WashingMachine_10s/256/BERT4NILM_0,461.071,51.345
result/UKDALE_WashingMachine_10s/256/BiLSTM_0,499.115,54.33
result/UKDALE_WashingMachine_10s/256/BiGRU_0,448.883,51.463
result/UKDALE_WashingMachine_10s/256/CNN1D_0,436.118,49.556
result/UKDALE_WashingMachine_10s/256/DAResNet_0,782.002,68.699
result/UKDALE_WashingMachine_10s/256/NILMFormer_1,527.787,49.873
result/UKDALE_WashingMachine_10s/256/BERT4NILM_1,428.008,48.588
result/UKDALE_WashingMachine_10s/256/BiLSTM_1,508.274,49.378
result/UKDALE_WashingMachine_10s/256/BiGRU_1,419.494,49.705
result/UKDALE_WashingMachine_10s/256/CNN1D_1,413.844,46.149
result/UKDALE_WashingMachine_10s/256/DAResNet_1,766.481,65.482
result/UKDALE_WashingMachine_10s/256/NILMFormer_2,506.776,52.451
result/UKDALE_WashingMachine_10s/256/BERT4NILM_2,463.857,48.656
result/UKDALE_WashingMachine_10s/256/BiLSTM_2,488.176,53.276
result/UKDALE_WashingMachine_10s/256/BiGRU_2,437.289,50.149
result/UKDALE_WashingMachine_10s/256/CNN1D_2,431.407,49.741
result/UKDALE_WashingMachine_10s/256/DAResNet_2,756.695,68.256
result/UKDALE_WashingMachine_10s/512/NILMFormer_0,313.54,26.523
result/UKDALE_WashingMachine_10s/512/BERT4NILM_0,238.75,25.639
result/UKDALE_WashingMachine_10s/512/BiLSTM_0,384.801,35.602
result/UKDALE_WashingMachine_10s/512/BiGRU_0,227.818,27.141
result/UKDALE_WashingMachine_10s/512/CNN1D_0,219.614,24.98
result/UKDALE_WashingMachine_10s/512/DAResNet_0,454.425,34.667
result/UKDALE_WashingMachine_10s/512/NILMFormer_1,319.757,26.724
result/UKDALE_WashingMachine_10s/512/BERT4NILM_1,216.022,23.709
result/UKDALE_WashingMachine_10s/512/BiLSTM_1,360.255,34.58
result/UKDALE_WashingMachine_10s/512/BiGRU_1,217.239,25.22
result/UKDALE_WashingMachine_10s/512/CNN1D_1,200.945,22.264
result/UKDALE_WashingMachine_10s/512/DAResNet_1,443.69,31.115
result/UKDALE_WashingMachine_10s/512/NILMFormer_2,305.667,26.52
result/UKDALE_WashingMachine_10s/512/BERT4NILM_2,227.748,25.665
result/UKDALE_WashingMachine_10s/512/BiLSTM_2,378.038,34.973
result/UKDALE_WashingMachine_10s/512/BiGRU_2,229.787,26.155
result/UKDALE_WashingMachine_10s/512/CNN1D_2,211.027,24.289
result/UKDALE_WashingMachine_10s/512/DAResNet_2,455.582,33.14
result/UKDALE_Dishwasher_10s/128/NILMFormer_0,1031.809,104.908
result/UKDALE_Dishwasher_10s/128/BERT4NILM_0,898.462,97.992
result/UKDALE_Dishwasher_10s/128/BiLSTM_0,941.212,91.915
result/UKDALE_Dishwasher_10s/128/BiGRU_0,895.842,103.516
result/UKDALE_Dishwasher_10s/128/CNN1D_0,879.669,101.89
result/UKDALE_Dishwasher_10s/128/DAResNet_0,1312.161,110.169
result/UKDALE_Dishwasher_10s/128/NILMFormer_1,950.349,88.721
result/UKDALE_Dishwasher_10s/128/BERT4NILM_1,749.68,71.516
